Accession	Protein_name	Database
IPI00328161	FK506-binding protein 8	International Protein Index (IPI)
IPI00398135	PREDICTED: similar to 60S ribosomal protein L27a	International Protein Index (IPI)
IPI00306301	Pyruvate dehydrogenase E1 component alpha subunit, somatic form, mitochondrial precursor	International Protein Index (IPI)
IPI00375511	Ribosomal protein L15; 60S Ribosomal protein L15	International Protein Index (IPI)
IPI00456731	Similar to Laminin receptor 1	International Protein Index (IPI)
IPI00604459	Ribosomal protein L14 variant	International Protein Index (IPI)
IPI00008453	Coronin-1C	International Protein Index (IPI)
IPI00549268	HSPC145	International Protein Index (IPI)
IPI00011457	WUGSC:H_RG054D04.1 protein	International Protein Index (IPI)
IPI00465185	28S ribosomal protein S17, mitochondrial precursor	International Protein Index (IPI)
IPI00384122	Full-length cDNA 5-PRIME end of clone CS0DB006YE12 of Neuroblastoma of Homo sapiens	International Protein Index (IPI)
IPI00604532	13kDa differentiation-associated protein	International Protein Index (IPI)
IPI00410693	Splice Isoform 1 of Plasminogen activator inhibitor 1 RNA-binding protein	International Protein Index (IPI)
IPI00166684	Hypothetical protein	International Protein Index (IPI)
IPI00219150	Splice Isoform 1 of 60S ribosomal protein L11	International Protein Index (IPI)
IPI00027192	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 precursor	International Protein Index (IPI)
IPI00329606	Sideroflexin 3	International Protein Index (IPI)
IPI00451483	Ribosomal protein S27 (Metallopanstimulin 1) (RPS27) pseudogene	International Protein Index (IPI)
IPI00042578	Similar to heterogeneous nuclear ribonucleoprotein A1 isoform a; nuclear ribonucleoprotein particle	International Protein Index (IPI)
IPI00011257	Eukaryotic translation initiation factor 3 subunit 5	International Protein Index (IPI)
IPI00061231	PEBP family protein	International Protein Index (IPI)
IPI00396980	PREDICTED: similar to ribosomal protein L35	International Protein Index (IPI)
Q9NP73	NA	UniprotKB
P08F94	NA	UniprotKB
16433	CUB and zona pellucida-like domains-1	NCBI
232975	Sodium potassium transporting ATPase alpha 4 chain	NCBI
15275	Hk1 protein	NCBI
IPI00382253.1, XP_236574	Aa2-001	IPI (Rat) & common contaminant database
IPI00359827.1, NP_114027	Arachidonic acid epoxygenase	IPI (Rat) & common contaminant database
IPI00327147.1, NP_058885	Asialoglycoprotein receptor R2/3	IPI (Rat) & common contaminant database
IPI00365139.1, XP_341632	ATP synthase a subunit	IPI (Rat) & common contaminant database
IPI00193214.1, XP_343137	ATP synthase b subunit	IPI (Rat) & common contaminant database
IPI00230838.3, NP_062256	ATP synthase subunit d	IPI (Rat) & common contaminant database
IPI00231978.3, NP_536729	ATP synthase, F1F0 complex, subunit e	IPI (Rat) & common contaminant database
IPI00206331.1, NP_037245	ATPase Na+/K+ transporting b1 polypeptide	IPI (Rat) & common contaminant database
IPI00324578.1, NP_612521	Cytochrome P450 2C22	IPI (Rat) & common contaminant database
IPI00331982.2, NP_445987	Ectonucleotide pyrophosphatase/phosphodiesterase 1	IPI (Rat) & common contaminant database
IPI00197548.1, NP_113777	Glucose-6-phosphatase, transport protein 1	IPI (Rat) & common contaminant database
IPI00231219.3, NP_786932	Low affinity immunoglobulin gamma Fc region receptor II	IPI (Rat) & common contaminant database
IPI00189766.1, P70580	Membrane associated progesterone receptor component 1	IPI (Rat) & common contaminant database
IPI00373291.1, XP_224353	Similar to adenine nucleotide translocase	IPI (Rat) & common contaminant database
IPI00372029.1, XP_215482	Similar to adenine nucleotide translocase	IPI (Rat) & common contaminant database
IPI00368340.1, XP_234507	Similar to adenylate kinase 7	IPI (Rat) & common contaminant database
IPI00364561.1, XP_216251	Similar to Atp6v1e1 protein	IPI (Rat) & common contaminant database
IPI00368071.1, XP_227250	Similar to ATPase, H+ transporting, V1 subunit A, isoform 1	IPI (Rat) & common contaminant database
IPI00361514.1, XP_221102	Similar to ATP-binding cassette transporter sub-family A member 6	IPI (Rat) & common contaminant database
IPI00361512.1, XP_221100	Similar to ATP-binding cassette transporter sub-family A member 8a	IPI (Rat) & common contaminant database
IPI00364013.1, XP_216092	Similar to Calcium-binding mitochondrial carrier protein Aralar2	IPI (Rat) & common contaminant database
IPI00373279.1, XP_217128	Similar to CG6105-PA	IPI (Rat) & common contaminant database
IPI00364010.1, XP_223299	Similar to expressed sequence AI788959	IPI (Rat) & common contaminant database
IPI00360914.1, XP_228193	Similar to glyceraldehyde-3-phosphate dehydrogenase	IPI (Rat) & common contaminant database
IPI00366995.1, XP_232840	Similar to KIAA1900 protein	IPI (Rat) & common contaminant database
IPI00368976.1, XP_220360	Similar to LRG-47	IPI (Rat) & common contaminant database
IPI00372796.1, XP_215769	Similar to mitochondrial carrier homolog 2	IPI (Rat) & common contaminant database
IPI00366939.1, XP_234089	Similar to NADH dehydrogenase 1 alpha subcomplex 10-like protein	IPI (Rat) & common contaminant database
IPI00367444.1, XP_227084	Similar to nicotinamide nucleotide transhydrogenase	IPI (Rat) & common contaminant database
IPI00359395.1, XP_233581	Similar to oligosaccharyltransferase	IPI (Rat) & common contaminant database
IPI00212358.1, XP_217211	Similar to RIKEN cDNA 2010200I23	IPI (Rat) & common contaminant database
IPI00361800.1, XP_214017	Similar to signal recognition particle,72 kDa subunit	IPI (Rat) & common contaminant database
IPI00207449.1, XP_218830	Similar to ubiquinol-cytochrome c reductase binding protein	IPI (Rat) & common contaminant database
IPI00373559.1, XP_217267	Similar to ubiquinol-cytochrome c reductase core protein 1	IPI (Rat) & common contaminant database
IPI00204793.1	Tax_Id=10116 Ensembl_locations:13-94689907;13-94728494	IPI (Rat) & common contaminant database
IPI00203538.1	Tax_Id=10116 Ensembl_locations:3-162844296	IPI (Rat) & common contaminant database
IPI00188906.1	Tax_Id=10116 Ensembl_locations:6-28846611	IPI (Rat) & common contaminant database
IPI00209714.1	Tax_Id=10116 Ensembl_locations:7-51550126	IPI (Rat) & common contaminant database
IPI00206021.1	Tax_Id=10116 Ensembl_locations:X-397522	IPI (Rat) & common contaminant database
IPI00193016.1, NP_112643	Voltage-dependent anion channel 1	IPI (Rat) & common contaminant database
IPI00479514	Calcium channel alpha-2/delta subunits precursor	International Protein Index (IPI)
IPI00275715	Calcium/calmodilin-dependent protein kinase type II alpha chain	International Protein Index (IPI)
IPI00185362	Neural cell adhesion molecule 1; 120kDa isoform precursor	International Protein Index (IPI)
IPI00442294	Neurotrimin precursor	International Protein Index (IPI)
IPI00604664	NADH-ubiquinone oxidoreductase 75 kDasubunit mitochondrial precursor	International Protein Index (IPI)
IPI00387144	Tubulin alpha-ubiquitous chain	International Protein Index (IPI)
IPI00386819	Vacuolar atp synthase catalytic subunit a, osteoclast isoform	International Protein Index (IPI)
IPI00552514	Vacuolar proton translocating ATPase 116 kDa subunit A isoform 1	International Protein Index (IPI)
CMC_HUMAN	Calcium binding mitochondrial carrier protein	UniprotKB
Gi 106185	Ras related protein rab-2	UniprotKB
gi 87528	DnaK-type molecular chaperone HSPA5 precursor	UniprotKB
HS71_HUMAN	Heat shock protein 70 kDa (HSP70)	UniprotKB
Q8QHK0	Regulator of G protein signaling protein RGS	UniprotKB
Q9HB92	Muscle-specific protein	UniprotKB
RAB7_HUMAN	Ras related protein rab-7	UniprotKB
TBB9_HUMAN	Tubulin beta-9 chain	UniprotKB
TTCB_HUMAN	Tetratricopeptide repeat protein II	UniprotKB
UCR6_HUMAN	Ubiquinol-cytochrome C reductase	UniprotKB
Q71UP1	Cytochrome C oxidase subunit V	UniprotKB
IPI00889220.1	Ribosomal protein-like	International Protein Index (IPI)
IPI00666034.3	Apolipoprotein B precursor	International Protein Index (IPI)
IPI00134095.3	Baculoviral IAP repeat-containing 6	International Protein Index (IPI)
IPI00885918.1	Protein	International Protein Index (IPI)
IPI00775852.1	Eukaryotic translation initiation factor 2, subunit 3, structural gene X-linked	International Protein Index (IPI)
IPI00758028.2	Similar to S-adenosylhomocysteine hydrolase	International Protein Index (IPI)
IPI00648669.1	16 kDa protein	International Protein Index (IPI)
IPI00895474.1	22 kDa protein	International Protein Index (IPI)
IPI00830256.1	Cad-pending protein	International Protein Index (IPI)
IPI00649343.2	ADP-ribosylation factor 2	International Protein Index (IPI)
IPI00755515.1	16 kDa protein	International Protein Index (IPI)
IPI00654422.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00408350.1	Hypothetical protein isoform 1	International Protein Index (IPI)
IPI00653717.3	Putative uncharacterized protein (Fragment)	International Protein Index (IPI)
IPI00927957.1	Protein	International Protein Index (IPI)
IPI00830707.1	94 kDa protein	International Protein Index (IPI)
IPI00461730.3	29 kDa protein	International Protein Index (IPI)
IPI00379391.2	Similar to ribosomal protein L15	International Protein Index (IPI)
IPI00121515.5	Cytoplasmic activation/proliferation-associated protein 1 isoform c	International Protein Index (IPI)
IPI00889996.1	10 kDa protein	International Protein Index (IPI)
IPI00856164.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00758218.3	Nucleolar protein 5A	International Protein Index (IPI)
IPI00928476.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00308609.1	Lectin, mannose-binding 2	International Protein Index (IPI)
IPI00114948.1	MCG22584	International Protein Index (IPI)
IPI00352163.3	Putative uncharacterized protein	International Protein Index (IPI)
IPI00653426.2	Putative uncharacterized protein	International Protein Index (IPI)
IPI00885658.1	Protein	International Protein Index (IPI)
IPI00880750.1	16 kDa protein	International Protein Index (IPI)
IPI00856930.1	Protein kinase C and casein kinase substrate in neurons 3	International Protein Index (IPI)
IPI00229911.2	Putative uncharacterized protein	International Protein Index (IPI)
IPI00857235.1	18 kDa protein	International Protein Index (IPI)
IPI00929856.1	Class I MHC H2-D-beta transplantation antigen mRNA (b haplotype), 3' end (Fragment)	International Protein Index (IPI)
IPI00462730.1	MKIAA0668 protein (Fragment)	International Protein Index (IPI)
IPI00830824.1	47 kDa protein	International Protein Index (IPI)
IPI00648658.1	Clathrin, light polypeptide A isoform d	International Protein Index (IPI)
IPI00894725.1	Fibroblast growth factor receptor 1	International Protein Index (IPI)
IPI00880679.1	29 kDa protein	International Protein Index (IPI)
IPI00856415.1	14 kDa protein	International Protein Index (IPI)
IPI00808067.1	Hypothetical protein LOC385658	International Protein Index (IPI)
IPI00621790.4	23 kDa protein	International Protein Index (IPI)
IPI00648786.1	Septin 9	International Protein Index (IPI)
IPI00112407.3	Similar to 40S ribosomal protein S14 isoform 1	International Protein Index (IPI)
IPI00404017.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00848921.1	Similar to Ribosomal protein L34	International Protein Index (IPI)
IPI00133243.1	MCG22590	International Protein Index (IPI)
IPI00775798.1	Dynein cytoplasmic 1 intermediate chain 2	International Protein Index (IPI)
IPI00466424.4	RAB1, member RAS oncogene family	International Protein Index (IPI)
IPI00475306.1	ATPase, H+ transporting, lysosomal V0 subunit A1, isoform CRA_b	International Protein Index (IPI)
IPI00855023.1	Similar to Solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	International Protein Index (IPI)
IPI00662716.2	Similar to CGI-140 protein	International Protein Index (IPI)
IPI00331577.5	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	International Protein Index (IPI)
IPI00458719.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00755231.1	Phosphatidate cytidylyltransferase	International Protein Index (IPI)
IPI00762364.2	50 kDa protein	International Protein Index (IPI)
IPI00222228.5	Hypothetical protein LOC239673	International Protein Index (IPI)
IPI00757239.1	24 kDa protein	International Protein Index (IPI)
IPI00882275.3	Dynein, axonemal, heavy chain 12	International Protein Index (IPI)
IPI00676489.1	104 kDa protein	International Protein Index (IPI)
IPI00856814.1	127 kDa protein	International Protein Index (IPI)
IPI00109044.8	Myosin light chain, regulatory B-like	International Protein Index (IPI)
IPI00323134	Cadherin-2	International Protein Index (IPI)
IPI00849031.1	Similar to Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) isoform 2	International Protein Index (IPI)
IPI00929758.1	Talin 1	International Protein Index (IPI)
IPI00919199.1	8 kDa protein	International Protein Index (IPI)
IPI00467374.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00408218.1	Zyx protein	International Protein Index (IPI)
IPI00875652.1	Protein kinase, cAMP dependent regulatory, type I, alpha	International Protein Index (IPI)
IPI00470167.3	Nogo-B	International Protein Index (IPI)
IPI00467910.4	RAB1, member RAS oncogene family	International Protein Index (IPI)
IPI00875163.1	H2-gs10 protein	International Protein Index (IPI)
IPI00356904.7	FERMRhoGEF (Arhgef) and pleckstrin domain protein 1	International Protein Index (IPI)
IPI00831525.1	24 kDa protein	International Protein Index (IPI)
IPI00830884.1	Tropomyosin 1, alpha isoform 4	International Protein Index (IPI)
IPI00848506.1	Hypothetical protein isoform 2	International Protein Index (IPI)
IPI00853863.3	Putative uncharacterized protein	International Protein Index (IPI)
IPI00648267.1	RAB34, member of RAS oncogene family	International Protein Index (IPI)
IPI00649391.2	Stomatin (Epb7.2)-like 2	International Protein Index (IPI)
IPI00274175.1	Similar to ribosomal protein S8 isoform 1	International Protein Index (IPI)
IPI00752639.1	Similar to ribosomal protein L23a	International Protein Index (IPI)
IPI00857931.1	8 kDa protein	International Protein Index (IPI)
IPI00895501.1	23 kDa protein	International Protein Index (IPI)
IPI00475146.1	Dudulin	International Protein Index (IPI)
IPI00754739.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00857345.1	20 kDa protein	International Protein Index (IPI)
IPI00127109.4	RIKEN cDNA 1700009N14 gene	International Protein Index (IPI)
IPI00664643.2	Filamin, alpha	International Protein Index (IPI)
IPI00857422.1	RNA binding motif protein 39	International Protein Index (IPI)
IPI00751573.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00750570.1	44 kDa protein	International Protein Index (IPI)
IPI00758306.9	Putative uncharacterized protein (Fragment)	International Protein Index (IPI)
IPI00515428.3	Putative uncharacterized protein (Fragment)	International Protein Index (IPI)
IPI00808129.1	Eif5 protein	International Protein Index (IPI)
IPI00857038.1	15 kDa protein	International Protein Index (IPI)
IPI00877355.1	Sorting nexin 12 isoform 1	International Protein Index (IPI)
IPI00403823	Isoform 1 of Catenin delta-1	International Protein Index (IPI)
IPI00626366.3	Similar to Acidic ribosomal phosphoprotein P0	International Protein Index (IPI)
IPI00652813.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00831299.2	14 kDa protein	International Protein Index (IPI)
IPI00880403.1	37 kDa protein	International Protein Index (IPI)
IPI00648315.1	Ribosomal protein L19 isoform 2	International Protein Index (IPI)
IPI00918305.1	Protein	International Protein Index (IPI)
IPI00666346.4	Fat 1 cadherin	International Protein Index (IPI)
IPI00850843.2	Similar to KIAA2019 protein	International Protein Index (IPI)
IPI00850243.1	Similar to Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) isoform 2	International Protein Index (IPI)
IPI00853789.1	Similar to ribosomal protein L6	International Protein Index (IPI)
IPI00874631.1	Neural cell adhesion molecule	International Protein Index (IPI)
IPI00474439.1	Y-box binding protein (Fragment)	International Protein Index (IPI)
IPI00775915.1	23 kDa protein	International Protein Index (IPI)
IPI00228526.3	ATPase, H+ transporting, lysosomal V0 subunit A1, isoform CRA_a	International Protein Index (IPI)
IPI00808555.2	Tcof1 protein	International Protein Index (IPI)
IPI00608020.4	Ferritin light chain 1	International Protein Index (IPI)
IPI00928306.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00275455.2	Similar to ribosomal protein isoform 1	International Protein Index (IPI)
IPI00461641.2	Similar to ribosomal protein L27A	International Protein Index (IPI)
IPI00462789.1	Psmc5 protein	International Protein Index (IPI)
IPI00652828.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00850650.1	Similar to hCG2016250	International Protein Index (IPI)
IPI00830623.1	53 kDa protein	International Protein Index (IPI)
IPI00762360.1	ATP-binding cassette, sub-family F (GCN20), member 1	International Protein Index (IPI)
IPI00885343.1	4 kDa protein	International Protein Index (IPI)
IPI00138302.1	Similar to ribosomal protein L38	International Protein Index (IPI)
IPI00928077.1	9 kDa protein	International Protein Index (IPI)
IPI00856424.1	ATP synthase coupling factor VI	International Protein Index (IPI)
IPI00914724.1	T-cell, immune regulator 1	International Protein Index (IPI)
IPI00651918.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00133580.1	Fructose-bisphosphate aldolase	International Protein Index (IPI)
IPI00403280.2	Putative uncharacterized protein (Fragment)	International Protein Index (IPI)
IPI00848644.1	Similar to ribosomal protein L6 isoform 2	International Protein Index (IPI)
IPI00653231.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00553798.2	AHNAK nucleoprotein isoform 1	International Protein Index (IPI)
IPI00654400.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00122450.1	Caldesmon 1	International Protein Index (IPI)
IPI00856378.1	20 kDa protein	International Protein Index (IPI)
IPI00754798.1	Similar to ribosomal protein S26, isoform 1	International Protein Index (IPI)
IPI00462006.3	Hypothetical protein	International Protein Index (IPI)
IPI00169707.2	Tropomyosin 3, gamma	International Protein Index (IPI)
IPI00605518.1	Similar to Annexin A2	International Protein Index (IPI)
IPI00856866.1	21 kDa protein	International Protein Index (IPI)
IPI00648105.1	Peroxiredoxin 1	International Protein Index (IPI)
IPI00132799.4	Complement component 1, q subcomponent binding protein	International Protein Index (IPI)
IPI00750074.1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma subunit isoform b	International Protein Index (IPI)
IPI00653744.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00138190	Cadherin-11	International Protein Index (IPI)
IPI00885811.1	Protein	International Protein Index (IPI)
IPI00268802.1	Similar to ribosomal protein	International Protein Index (IPI)
IPI00457499.5	GCN1 general control of amino-acid synthesis 1-like 1	International Protein Index (IPI)
IPI00754992.1	Ribophorin II	International Protein Index (IPI)
IPI00848816.1	Similar to Cofilin-1	International Protein Index (IPI)
IPI00677102.1	Hypothetical protein isoform 1	International Protein Index (IPI)
IPI00381231.7	77 kDa protein	International Protein Index (IPI)
IPI00108454.2	29 kDa protein	International Protein Index (IPI)
IPI00229080.7	MCG18238	International Protein Index (IPI)
IPI00894927.1	Synaptosomal-associated protein	International Protein Index (IPI)
IPI00623131.4	Phosphatidylinositol-specific phospholipase C, X domain containing 2	International Protein Index (IPI)
IPI00120954.2	Poly A binding protein, cytoplasmic 2	International Protein Index (IPI)
IPI00886361.1	3 kDa protein	International Protein Index (IPI)
IPI00923013.1	Ubiquitin B	International Protein Index (IPI)
IPI00228092.4	Novel protein containing 10 HEAT domains	International Protein Index (IPI)
IPI00830951.2	V-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	International Protein Index (IPI)
IPI00652042.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00918137.1	Heterogeneous nuclear ribonucleoprotein M	International Protein Index (IPI)
IPI00663929.1	Similar to Ribosomal protein S11	International Protein Index (IPI)
IPI00850048.1	Similar to DnaJ (Hsp40) homolog, subfamily A, member 1	International Protein Index (IPI)
IPI00928284.1	Prosaposin isoform E preproprotein	International Protein Index (IPI)
IPI00653037.1	Putative uncharacterized protein (Fragment)	International Protein Index (IPI)
IPI00469351.3	Similar to heterogeneous nuclear ribonucleoprotein K	International Protein Index (IPI)
IPI00462753.1	1810006K21Rik protein	International Protein Index (IPI)
IPI00122815.3	Putative uncharacterized protein	International Protein Index (IPI)
IPI00874704.1	11 kDa protein	International Protein Index (IPI)
IPI00720185.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00755120.2	Ribosome binding protein 1 isoform a	International Protein Index (IPI)
IPI00458105.2	Similar to ribosomal protein L3	International Protein Index (IPI)
IPI00649994.1	Adenylyl cyclase-associated protein	International Protein Index (IPI)
IPI00874810.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00853989.1	Similar to Ribosomal protein L17 isoform 2	International Protein Index (IPI)
IPI00604967.3	Hypothetical protein	International Protein Index (IPI)
IPI00648009.1	Pyrroline-5-carboxylate reductase 1	International Protein Index (IPI)
IPI00876411.1	67 kDa protein	International Protein Index (IPI)
IPI00134202.4	Similar to ribosomal protein L24	International Protein Index (IPI)
IPI00890196.1	22 kDa protein	International Protein Index (IPI)
IPI00848429.1	Similar to Serine/arginine repetitive matrix protein 2	International Protein Index (IPI)
IPI00620622.2	Rous sarcoma oncogene isoform 2	International Protein Index (IPI)
IPI00111076.1	Similar to hepatitis B virus X interacting protein	International Protein Index (IPI)
IPI00652858.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00381413.2	Putative uncharacterized protein	International Protein Index (IPI)
IPI00135074.3	Hypothetical protein	International Protein Index (IPI)
IPI00929797.1	Eukaryotic translation initiation factor 4A1 isoform 2	International Protein Index (IPI)
IPI00650039.1	Profilin	International Protein Index (IPI)
IPI00454008.1	Serine hydroxymethyltransferase	International Protein Index (IPI)
IPI00676914.1	Similar to valosin isoform 1	International Protein Index (IPI)
IPI00339474.3	Similar to ribosomal protein L12	International Protein Index (IPI)
IPI00918475.1	5 kDa protein	International Protein Index (IPI)
IPI00459334.1	Putative uncharacterized protein (Fragment)	International Protein Index (IPI)
IPI00848364.1	Similar to ribosomal protein L23a	International Protein Index (IPI)
IPI00458629.2	Hypothetical protein isoform 1	International Protein Index (IPI)
IPI00120045.1	CPN10-like protein	International Protein Index (IPI)
IPI00828496.2	25 kDa protein	International Protein Index (IPI)
IPI00828216.4	Retinoblastoma binding protein 7	International Protein Index (IPI)
IPI00625829.2	Hypothetical protein isoform 1	International Protein Index (IPI)
IPI00885651.1	15 kDa protein	International Protein Index (IPI)
