Accession	Gene_name	Protein_name
O60262	GNG7;GNGT7	Guanine nucleotide-binding protein G subunit gamma-7
O60289	SFI1; KIAA0542	Protein SFI1 homolog
O60335	SMC5; KIAA0594; SMC5L1	Structural maintenance of chromosomes protein 5
O60437	PPL;KIAA0568	Periplakin
O60477	BRINP1;DBC1;DBCCR1;FAM5A;IB3089A	BMP/retinoic acid-inducible neural-specific protein 1
O60486	PLXNC1;VESPR	Plexin-C1
O60648	SPRYD7; C13orf1; CLLD6	SPRY domain-containing protein 7
O60658	PDE8A	High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A
O60683	PEX10;RNF69	Peroxisome biogenesis factor 10
O60716	CTNND1;KIAA0384	Catenin delta-1
O75205	GPRC5B; RAIG2	G-protein coupled receptor family C group 5 member B
O75251	NDUFS7	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial
O75306	NDUFS2	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial
O75326	SEMA7A;CD108;SEMAL	Semaphorin-7A
O75348	ATP6V1G1;ATP6G;ATP6G1;ATP6J	V-type proton ATPase subunit G 1
O75372	MUC5AC	Gastric mucin
O75419	CDC45;CDC45L;CDC45L2;UNQ374/PRO710	Cell division control protein 45 homolog
O75431	MTX2	Metaxin-2
O75477	ERLIN1;C10orf69;KE04;KEO4;SPFH1	Erlin-1
O75487	GPC4;UNQ474/PRO937	Glypican-4
O75489	NDUFS3	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial
O75496	GMNN	Geminin
O75531	BANF1;BAF;BCRG1	Barrier-to-autointegration factor
O75695	RP2	Protein XRP2
O75746	SLC25A12;ARALAR1	Calcium-binding mitochondrial carrier protein Aralar1
O75762	TRPA1;ANKTM1	Transient receptor potential cation channel subfamily A member 1
O75766	LRRFIP1; GCF2; TRIP	Leucine-rich repeat flightless-interacting protein 1
O75781	PALM;KIAA0270	Paralemmin-1
O75787	ATP6AP2;ATP6IP2;CAPER;ELDF10;HT028;MSTP009;PSEC0072	Renin receptor
O75872	RAB3GAP2; KIAA0839	Rab3 GTPase-activating protein non-catalytic subunit
O75882	ATRN;KIAA0548;MGCA	Attractin
O75955	FLOT1	Flotillin-1
O75970	MPDZ;MUPP1	Multiple PDZ domain protein
O76013	KRT36;HHA6;HKA6;KRTHA6	Keratin, type I cuticular Ha6
O76024	WFS1	Wolframin
O76049	ABI1; SSH3BP1	Abl interactor 2
O88386	RAB10	Ras-related protein Rab-10
O94776	MTA2;MTA1L1;PID	Metastasis-associated protein MTA2
O94826	TOMM70A;KIAA0719;TOM70	Mitochondrial import receptor subunit TOM70
O94832	MYO1D;KIAA0727	Unconventional myosin-Id
O94833	CD109; CPAMD7	CD109 antigen
O94905	ERLIN2;C8orf2;SPFH2;UNQ2441/PRO5003/PRO9924	Erlin-2
O94986	CEP152;KIAA0912	Centrosomal protein of 152 kDa
O95168	NDUFB4	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4
O95182	NDUFA7	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7
O95201	ZNF205;ZNF210	Zinc finger protein 205
O95292	VAPB;UNQ484/PRO983	Vesicle-associated membrane protein-associated protein B/C
O95299	NDUFA10	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial
O95342	ABCB11;BSEP	Bile salt export pump
O95357	GPRC5A; GPCR5A; RAI3; RAIG1	Retinoic acid-induced protein 3
O95447	LCA5L;C21orf13	Lebercilin-like protein
O95747	OXSR1;KIAA1101;OSR1	Serine/threonine-protein kinase OSR1
O95832	CLDN1;CLD1;SEMP1;UNQ481/PRO944	Claudin-1
O96000	NDUFB10	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10
O96008	TOMM40;C19orf1;PEREC1;TOM40	Mitochondrial import receptor subunit TOM40 homolog
P00167	CYB5A;CYB5	Cytochrome b5
P00387	CYB5R3;DIA1	NADH-cytochrome b5 reductase 3
P01112	HRAS;HRAS1	GTPase HRas
P01121	RHOB; ARH6; ARHB	Rho-related GTP-binding protein RhoB
P02248	UBA52; UBCEP2;UBCEP1	Ubiquitin-60S ribosomal protein L40
P02278	HIST1H2B	Histone H2B type 1
P02304	H4-I;H4-II;H4-III;H4-IV;H4-V;H4-VI;H4-VII;HIST1H4	Histone H4
P02462	COL4A1	Collagen alpha-1 chain
P02533	KRT14	Keratin, type I cytoskeletal 14
P02538	KRT6A;K6A;KRT6D	Keratin, type II cytoskeletal 6A
P02545	LMNA;LMN1	Prelamin-A/C
P02570	ACTB	Actin, cytoplasmic 1
P02724	GYPA;GPA	Glycophorin-A
P02768	ALB;GIG20;GIG42;PRO0903;PRO1708;PRO2044;PRO2619;PRO2675;UNQ696/PRO1341	Serum albumin
P03996	ACTA2; ACTSA; ACTVS	Actin, aortic smooth muscle
P04035	HMGCR	3-hydroxy-3-methylglutaryl-coenzyme A reductase
P04114	APOB	Apolipoprotein B-100
P04264	KRT1;KRTA	Keratin, type II cytoskeletal 1
P04350	TUBB4A;TUBB4;TUBB5	Tubulin beta-4A chain
P04406	GAPDH;GAPD;CDABP0047;OK/SW-cl.12	Glyceraldehyde-3-phosphate dehydrogenase
P04424	ASL	Argininosuccinate lyase
P04626	ERBB2;HER2;MLN19;NEU;NGL	Receptor tyrosine-protein kinase erbB-2
P04643	RPS11	40S ribosomal protein S11
P04720	EEF1A1; EEF1A; EF1A	Elongation factor 1-alpha 1
P04792	HSPB1;HSP27;HSP28	Heat shock protein beta-1
P04843	RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1
P04844	RPN2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2
P04895	GNAS; GNAS1; GSP	Guanine nucleotide-binding protein G(s) subunit alpha
P04898	GNAI1	Guanine nucleotide-binding protein G(i) subunit alpha-1
P04899	GNAI2;GNAI2B	Guanine nucleotide-binding protein G
P04901	GNB1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1
P05023	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1
P05026	ATP1B1;ATP1B	Sodium/potassium-transporting ATPase subunit beta-1
P05060	CHGB;SCG1	Secretogranin-1
P05092	PPIA; CYPA	Peptidyl-prolyl cis-trans isomerase A
P05107	ITGB2;CD18;MFI7	Integrin beta-2
P05111	INHA	Inhibin alpha chain
P05141	SLC25A5;ANT2	ADP/ATP translocase 2
P05209	TUBA1A; TUBA3;TUBA1	Tubulin alpha-1B chain
P05215	TUBA4A; TUBA1	Tubulin alpha-4A chain
P05217	TUBB4B; TUBB2C	Tubulin beta-4B chain
P05218	TUBB5; TUBB	Tubulin beta chain
P05387	RPLP2;D11S2243E;RPP2	60S acidic ribosomal protein P2
P05388	RPLP0	60S acidic ribosomal protein P0
P05783	KRT18;CYK18;PIG46	Keratin, type I cytoskeletal 18
P05787	KRT8;CYK8	Keratin, type II cytoskeletal 8
P06241	FYN	Tyrosine-protein kinase Fyn
P06366	RPS14; EMTB	40S ribosomal protein S14
P06493	CDK1;CDC2;CDC28A;CDKN1;P34CDC2	Cyclin-dependent kinase 1
P06576	ATP5B;ATPMB;ATPSB	ATP synthase subunit beta, mitochondrial
P06733	ENO1;ENO1L1;MBPB1;MPB1	Alpha-enolase
P06748	NPM1;NPM	Nucleophosmin
P06749	RHOA; ARHA; RHO12	Transforming protein RhoA
P07237	P4HB;ERBA2L;PDI;PDIA1;PO4DB	Protein disulfide-isomerase
P07355	ANXA2;ANX2;ANX2L4;CAL1H;LPC2D	Annexin A2
P07359	GP1BA	Platelet glycoprotein Ib alpha chain
P07437	TUBB;TUBB5;OK/SW-cl.56	Tubulin beta chain
P07477	PRSS1;TRP1;TRY1;TRYP1	Trypsin-1
P07602	PSAP;GLBA;SAP1	Prosaposin
P07900	HSP90AA1;HSP90A;HSPC1;HSPCA	Heat shock protein HSP 90-alpha
P07947	YES1;YES	Tyrosine-protein kinase Yes
P07948	LYN;JTK8	Tyrosine-protein kinase Lyn
P08107	HSPA1A;HSPA1;HSX70;HSPA1B	Heat shock 70 kDa protein 1A/1B
P08129	PPP1CA; PPP1A	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit
P08183	ABCB1;MDR1;PGY1	Multidrug resistance protein 1
P08195	SLC3A2;MDU1	4F2 cell-surface antigen heavy chain
P08238	HSP90AB1;HSP90B;HSPC2;HSPCB	Heat shock protein HSP 90-beta
P08582	MFI2;MAP97	Melanotransferrin
P08670	VIM	Vimentin
P08708	RPS17	40S ribosomal protein S17
P08754	GNAI3	Guanine nucleotide-binding protein G
P08779	KRT16;KRT16A	Keratin, type I cytoskeletal 16
P08865	RPSA;LAMBR;LAMR1	40S ribosomal protein SA
P08886	RAB2A; RAB2	Ras-related protein Rab-2A
P09382	LGALS1	Galectin-1
P09471	GNAO1	Guanine nucleotide-binding protein G subunit alpha
P09526	RAP1B	Ras-related protein Rap-1b
P09669	COX6C	Cytochrome c oxidase subunit 6C
P09874	PARP1;ADPRT;PPOL	Poly [ADP-ribose] polymerase 1
P10113	RAP1A; KREV1	Ras-related protein Rap-1A
P10114	RAP2A	Ras-related protein Rap-2a
P10159	EIF5A	Eukaryotic translation initiation factor 5A-1
P10301	RRAS	Ras-related protein R-Ras
P10660	RPS6	40S ribosomal protein S6
P10809	HSPD1;HSP60	60 kDa heat shock protein, mitochondrial
P11016	GNB2	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2
P11021	HSPA5;GRP78	78 kDa glucose-regulated protein
P11117	ACP2	Lysosomal acid phosphatase
P11142	HSPA8;HSC70;HSP73;HSPA10	Heat shock cognate 71 kDa protein
P11166	SLC2A1;GLUT1	Solute carrier family 2, facilitated glucose transporter member 1
P11174	RPS15; RIG	40S ribosomal protein S15
P11233	RALA;RAL	Ras-related protein Ral-A
P11310	ACADM	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial
P11476	RAB1A; RAB1	Ras-related protein Rab-1A
P11498	PC	Pyruvate carboxylase, mitochondrial
P11518	RPL7A; SURF-3; SURF3	60S ribosomal protein L7a
P11940	PABPC1;PAB1;PABP1;PABPC2	Polyadenylate-binding protein 1
P12110	COL6A2	Collagen alpha-2 chain
P12111	COL6A3	Collagen alpha-3 chain
P12235	SLC25A4;ANT1	ADP/ATP translocase 1
P12525	MYCLP1;MYCL1P1;MYCL2	Putative myc-like protein MYCLP1
P12750	RPS4X; RPS4	40S ribosomal protein S4, X isoform
P12751	RPL37A	60S ribosomal protein L37a
P12882	MYH1	Myosin-1
P12953	ATP6V0D1; ATP6D; VPATPD	V-type proton ATPase subunit d 1
P13010	XRCC5;G22P2	X-ray repair cross-complementing protein 5
P13073	COX4I1;COX4	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial
P13378	HOXD8;HOX4E	Homeobox protein Hox-D8
P13637	ATP1A3	Sodium/potassium-transporting ATPase subunit alpha-3
P13639	EEF2;EF2	Elongation factor 2
P13645	KRT10;KPP	Keratin, type I cytoskeletal 10
P13646	KRT13	Keratin, type I cytoskeletal 13
P13647	KRT5	Keratin, type II cytoskeletal 5
P13987	CD59;MIC11;MIN1;MIN2;MIN3;MSK21	CD59 glycoprotein
P14118	RPL19	60S ribosomal protein L19
P14136	GFAP	Glial fibrillary acidic protein
P14314	PRKCSH;G19P1	Glucosidase 2 subunit beta
P14384	CPM	Carboxypeptidase M
P14406	COX7A2;COX7AL	Cytochrome c oxidase subunit 7A2, mitochondrial
P14618	PKM;OIP3;PK2;PK3;PKM2	Pyruvate kinase PKM
P14625	HSP90B1;GRP94;TRA1	Endoplasmin
P14866	HNRNPL;HNRPL;P/OKcl.14	Heterogeneous nuclear ribonucleoprotein L
P14868	DARS;PIG40	Aspartate--tRNA ligase, cytoplasmic
P14923	JUP;CTNNG;DP3	Junction plakoglobin
P15104	GLUL;GLNS	Glutamine synthetase
P15144	ANPEP;APN;CD13;PEPN	Aminopeptidase N
P15154	RAC1; TC25	Ras-related C3 botulinum toxin substrate 1
P15311	EZR;VIL2	Ezrin
P15313	ATP6V1B1;ATP6B1;VATB;VPP3	V-type proton ATPase subunit B, kidney isoform
P15328	FOLR1;FOLR	Folate receptor alpha
P15531	NME1;NDPKA;NM23	Nucleoside diphosphate kinase A
P15880	RPS2;RPS4	40S ribosomal protein S2
P16070	CD44;LHR;MDU2;MDU3;MIC4	CD44 antigen
P16104	H2AFX;H2AX	Histone H2AX
P16403	HIST1H1C;H1F2	Histone H1.2
P16475	MYL6	Myosin light polypeptide 6
P16499	PDE6A;PDEA	Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha
P16632	RPS24	40S ribosomal protein S24
P16885	PLCG2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2
P17008	RPS16	40S ribosomal protein S16
P17066	HSPA6;HSP70B'	Heat shock 70 kDa protein 6
P17080	RAN	GTP-binding nuclear protein Ran
P17082	RRAS2; TC21	Ras-related protein R-Ras2
P17252	PRKCA;PKCA;PRKACA	Protein kinase C alpha type
P17301	ITGA2;CD49B	Integrin alpha-2
P17317	H2AFZ; H2AZ	Histone H2A.Z
P17661	DES	Desmin
P18085	ARF4;ARF2	ADP-ribosylation factor 4
P18124	RPL7	60S ribosomal protein L7
P18621	RPL17	60S ribosomal protein L17
P18669	PGAM1;PGAMA;CDABP0006	Phosphoglycerate mutase 1
P19022	CDH2;CDHN;NCAD	Cadherin-2
P19065	VAMP2; SYB2	Vesicle-associated membrane protein 2
P19105	MYL12A;MLCB;MRLC3;RLC	Myosin regulatory light chain 12A
P19338	NCL	Nucleolin
P19404	NDUFV2	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial
P19440	GGT1;GGT	Gamma-glutamyltranspeptidase 1
P20023	CR2;C3DR	Complement receptor type 2
P20700	LMNB1;LMN2;LMNB	Lamin-B1
P21181	CDC42	Cell division control protein 42 homolog
P21281	ATP6V1B2;ATP6B2;VPP3	V-type proton ATPase subunit B, brain isoform
P21283	ATP6V1C1;ATP6C;ATP6D;VATC	V-type proton ATPase subunit C 1
P21333	FLNA;FLN;FLN1	Filamin-A
P21589	NT5E;NT5;NTE	5'-nucleotidase
P21796	VDAC1;VDAC	Voltage-dependent anion-selective channel protein 1
P21810	BGN;SLRR1A	Biglycan
P22090	RPS4Y1;RPS4Y;PRO2646	40S ribosomal protein S4, Y isoform 1
P22314	UBA1;A1S9T;UBE1	Ubiquitin-like modifier-activating enzyme 1
P22626	HNRNPA2B1;HNRPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1
P22695	UQCRC2	Cytochrome b-c1 complex subunit 2, mitochondrial
P23396	RPS3;OK/SW-cl.26	40S ribosomal protein S3
P23528	CFL1;CFL	Cofilin-1
P23821	RPS7	40S ribosomal protein S7
P24407	RAB8A; MEL; RAB8	Ras-related protein Rab-8A
P25111	RPS25	40S ribosomal protein S25
P25232	RPS18; D6S218E	40S ribosomal protein S18
P25388	GNB2L1	Guanine nucleotide-binding protein subunit beta-2-like 1
P25705	ATP5A1;ATP5A;ATP5AL2;ATPM	ATP synthase subunit alpha, mitochondrial
P26006	ITGA3;MSK18	Integrin alpha-3
P26599	PTBP1;PTB	Polypyrimidine tract-binding protein 1
P27105	STOM;BND7;EPB72	Erythrocyte band 7 integral membrane protein
P27449	ATP6V0C;ATP6C;ATP6L;ATPL	V-type proton ATPase 16 kDa proteolipid subunit
P27487	DPP4;ADCP2;CD26	Dipeptidyl peptidase 4
P27797	CALR;CRTC	Calreticulin
P27824	CANX	Calnexin
P28001	HIST1H2AB; H2AFM;HIST1H2AE; H2AFA	Histone H2A type 1-B/E
P28288	ABCD3;PMP70;PXMP1	ATP-binding cassette sub-family D member 3
P28331	NDUFS1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial
P29043	SERPINH1; CBP1; CBP2; HSP47; SERPINH2	Serpin H1
P29312	YWHAZ	14-3-3 protein zeta/delta
P29316	RPL23A	60S ribosomal protein L23a
P29475	NOS1	Nitric oxide synthase, brain
P29777	GNAO1	Guanine nucleotide-binding protein G(o) subunit alpha
P29972	AQP1;CHIP28	Aquaporin-1
P29992	GNA11;GA11	Guanine nucleotide-binding protein subunit alpha-11
P30101	PDIA3;ERP57;ERP60;GRP58	Protein disulfide-isomerase A3
P30414	NKTR	NK-tumor recognition protein
P30499	HLA-C;HLAC	HLA class I histocompatibility antigen, Cw-1 alpha chain
P30511	HLA-F;HLA-5.4;HLAF	HLA class I histocompatibility antigen, alpha chain F
P30530	AXL;UFO	Tyrosine-protein kinase receptor UFO
P30622	CLIP1;CYLN1;RSN	CAP-Gly domain-containing linker protein 1
P31040	SDHA;SDH2;SDHF	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial
P31930	UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial
P31946	YWHAB	14-3-3 protein beta/alpha
P32391	ACTR3; ARP3	Actin-related protein 3
P32418	SLC8A1;CNC;NCX1	Sodium/calcium exchanger 1
P32754	HPD;PPD	4-hydroxyphenylpyruvate dioxygenase
P32889	ARF1	ADP-ribosylation factor 1
P33241	LSP1;WP34	Lymphocyte-specific protein 1
P33897	ABCD1;ALD	ATP-binding cassette sub-family D member 1
P33947	KDELR2;ERD2.2	ER lumen protein-retaining receptor 2
P35214	YWHAG	14-3-3 protein gamma
P35221	CTNNA1	Catenin alpha-1
P35222	CTNNB1;CTNNB;OK/SW-cl.35;PRO2286	Catenin beta-1
P35232	PHB	Prohibitin
P35238	RHOG; ARHG	Rho-related GTP-binding protein RhoG
P35251	RFC1;RFC140	Replication factor C subunit 1
P35527	KRT9	Keratin, type I cytoskeletal 9
P35579	MYH9	Myosin-9
P35580	MYH10	Myosin-10
P35610	SOAT1;ACACT;ACACT1;ACAT;ACAT1;SOAT;STAT	Sterol O-acyltransferase 1
P35613	BSG;UNQ6505/PRO21383	Basigin
P35658	NUP214;CAIN;CAN;KIAA0023	Nuclear pore complex protein Nup214
P35900	KRT20	Keratin, type I cytoskeletal 20
P35908	KRT2;KRT2A;KRT2E	Keratin, type II cytoskeletal 2 epidermal
P36542	ATP5C1;ATP5C;ATP5CL1	ATP synthase subunit gamma, mitochondrial
P36543	ATP6V1E1;ATP6E;ATP6E2	V-type proton ATPase subunit E 1
P38378	SEC61A1; SEC61A	Protein transport protein Sec61 subunit alpha isoform 1
P38405	GNAL	Guanine nucleotide-binding protein G
P38606	ATP6V1A;ATP6A1;ATP6V1A1;VPP2	V-type proton ATPase catalytic subunit A
P39023	RPL3;OK/SW-cl.32	60S ribosomal protein L3
P39027	Rps15a	40S ribosomal protein S15a
P39030	RPL15; EC45	60S ribosomal protein L15
P40616	ARL1	ADP-ribosylation factor-like protein 1
P40939	HADHA;HADH	Trifunctional enzyme subunit alpha, mitochondrial
P41219	PRPH;NEF4;PRPH1	Peripherin
P42356	PI4KA;PIK4;PIK4CA	Phosphatidylinositol 4-kinase alpha
P42704	LRPPRC;LRP130	Leucine-rich PPR motif-containing protein, mitochondrial
P42766	RPL35	60S ribosomal protein L35
P43251	BTD	Biotinidase
P45880	VDAC2	Voltage-dependent anion-selective channel protein 2
P46459	NSF	Vesicle-fusing ATPase
P46776	RPL27A	60S ribosomal protein L27a
P46782	RPS5	40S ribosomal protein S5
P46940	IQGAP1;KIAA0051	Ras GTPase-activating-like protein IQGAP1
P47756	CAPZB	F-actin-capping protein subunit beta
P47985	UQCRFS1	Cytochrome b-c1 complex subunit Rieske, mitochondrial
P48047	ATP5O;ATPO	ATP synthase subunit O, mitochondrial
P49184	DNASE1L1;DNAS1L1;DNL1L	Deoxyribonuclease-1-like 1
P49257	LMAN1;ERGIC53;F5F8D	Protein ERGIC-53
P49755	TMED10;TMP21	Transmembrane emp24 domain-containing protein 10
P49768	PSEN1;AD3;PS1;PSNL1	Presenilin-1
P49821	NDUFV1;UQOR1	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial
P50151	GNG10;GNGT10	Guanine nucleotide-binding protein G subunit gamma-10
P50402	EMD;EDMD;STA	Emerin
P50443	SLC26A2;DTD;DTDST	Sulfate transporter
P50570	DNM2;DYN2	Dynamin-2
P51148	RAB5C;RABL	Ras-related protein Rab-5C
P51149	RAB7A;RAB7	Ras-related protein Rab-7a
P51151	RAB9A;RAB9	Ras-related protein Rab-9A
P51572	BCAP31;BAP31;DXS1357E	B-cell receptor-associated protein 31
P51648	ALDH3A2;ALDH10;FALDH	Fatty aldehyde dehydrogenase
P51659	HSD17B4;EDH17B4	Peroxisomal multifunctional enzyme type 2
P51797	CLCN6;KIAA0046	Chloride transport protein 6
P51808	DYNLT3;TCTE1L;TCTE1XL	Dynein light chain Tctex-type 3
P51970	NDUFA8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8
P52272	HNRNPM;HNRPM;NAGR1	Heterogeneous nuclear ribonucleoprotein M
P52569	SLC7A2;ATRC2;CAT2	Low affinity cationic amino acid transporter 2
P52597	HNRNPF;HNRPF	Heterogeneous nuclear ribonucleoprotein F
P52907	CAPZA1	F-actin-capping protein subunit alpha-1
P52943	CRIP2;CRP2	Cysteine-rich protein 2
P53007	SLC25A1;SLC20A3	Tricarboxylate transport protein, mitochondrial
P53396	ACLY	ATP-citrate synthase
P54289	CACNA2D1;CACNL2A;CCHL2A;MHS3	Voltage-dependent calcium channel subunit alpha-2/delta-1
P54652	HSPA2	Heat shock-related 70 kDa protein 2
P54840	GYS2	Glycogen [starch] synthase, liver
P55072	VCP	Transitional endoplasmic reticulum ATPase
P56556	NDUFA6;LYRM6;NADHB14	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6
P57739	CLDN2;PSEC0059;SP82;UNQ705/PRO1356	Claudin-2
P58107	EPPK1;EPIPL	Epiplakin
P59998	ARPC4;ARC20	Actin-related protein 2/3 complex subunit 4
P78310	CXADR;CAR	Coxsackievirus and adenovirus receptor
P78368	CSNK1G2;CK1G2	Casein kinase I isoform gamma-2
P78371	CCT2;99D8.1;CCTB	T-complex protein 1 subunit beta
P78527	PRKDC;HYRC;HYRC1	DNA-dependent protein kinase catalytic subunit
P80217	IFI35;IFP35	Interferon-induced 35 kDa protein
P80723	BASP1;NAP22	Brain acid soluble protein 1
P82279	CRB1	Protein crumbs homolog 1
P98174	FGD1;FGDY;ZFYVE3	FYVE, RhoGEF and PH domain-containing protein 1
P98196	ATP11A;ATPIH;ATPIS;KIAA1021	Probable phospholipid-transporting ATPase IH
Q00325	SLC25A3;PHC;OK/SW-cl.48	Phosphate carrier protein, mitochondrial
Q00341	HDLBP;HBP;VGL	Vigilin
Q00610	CLTC;CLH17;CLTCL2;KIAA0034	Clathrin heavy chain 1
Q00839	HNRNPU;HNRPU;SAFA;U21.1	Heterogeneous nuclear ribonucleoprotein U
Q01082	SPTBN1;SPTB2	Spectrin beta chain, non-erythrocytic 1
Q01546	KRT76;KRT2B;KRT2P	Keratin, type II cytoskeletal 2 oral
Q01742	FLNC; ABPL; FLN2	Filamin-C
Q01813	PFKP;PFKF	ATP-dependent 6-phosphofructokinase, platelet type
Q01844	EWSR1;EWS	RNA-binding protein EWS
Q02156	PRKCE;PKCE	Protein kinase C epsilon type
Q02218	OGDH	2-oxoglutarate dehydrogenase, mitochondrial
Q02388	COL7A1	Collagen alpha-1
Q02539	HIST1H1A;H1F1	Histone H1.1
Q02878	RPL6;TXREB1	60S ribosomal protein L6
Q03113	GNA12	Guanine nucleotide-binding protein subunit alpha-12
Q03135	CAV1;CAV	Caveolin-1
Q03405	PLAUR;MO3;UPAR	Urokinase plasminogen activator surface receptor
Q04695	KRT17	Keratin, type I cytoskeletal 17
Q04941	PLP2;A4	Proteolipid protein 2
Q05472	FAU; ASR1	40S ribosomal protein S30
Q06830	PRDX1;PAGA;PAGB;TDPX2	Peroxiredoxin-1
Q07020	RPL18	60S ribosomal protein L18
Q07065	CKAP4	Cytoskeleton-associated protein 4
Q07157	TJP1;ZO1	Tight junction protein ZO-1
Q07244	HNRNPK; HNRPK	Heterogeneous nuclear ribonucleoprotein K
Q07817	BCL2L1;BCL2L;BCLX	Bcl-2-like protein 1
Q07954	LRP1;A2MR;APR	Prolow-density lipoprotein receptor-related protein 1
Q09161	NCBP1;CBP80;NCBP	Nuclear cap-binding protein subunit 1
Q09666	AHNAK;PM227	Neuroblast differentiation-associated protein AHNAK
Q10471	GALNT2	Polypeptide N-acetylgalactosaminyltransferase 2
Q10567	AP1B1;ADTB1;BAM22;CLAPB2	AP-1 complex subunit beta-1
Q10588	BST1	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2
Q10589	BST2	Bone marrow stromal antigen 2
Q12756	KIF1A;ATSV;C2orf20	Kinesin-like protein KIF1A
Q12795	CTNNA1	Catenin alpha-1
Q12875	MET	Hepatocyte growth factor receptor
Q12884	FAP	Seprase
Q12907	LMAN2;C5orf8	Vesicular integral-membrane protein VIP36
Q12923	PTPN13;PNP1;PTP1E;PTPL1	Tyrosine-protein phosphatase non-receptor type 13
