Accession	Gene_name	Protein_name
O35567	Atic;Purh	Bifunctional purine biosynthesis protein PURH
O35604	Npc1	Niemann-Pick C1 protein
O35609	Scamp3	Secretory carrier-associated membrane protein 3
O35619	Vamp2;mVAMP-2	Vesicle associated membrane protein 2
O35627	Nr1i3;Car	Nuclear receptor subfamily 1 group I member 3
O35633	Slc32a1;Vgat;Viaat	Vesicular inhibitory amino acid transporter
O35639	Anxa3;Anx3	Annexin A3
O35643	Ap1b1;Adtb1	AP-1 complex subunit beta-1
O35658	C1qbp;Gc1qbp	Complement component 1 Q subcomponent-binding protein, mitochondrial
O35682	Myadm;Mug	Myeloid-associated differentiation marker
O35737	Hnrnph1;Hnrph;Hnrph1	Heterogeneous nuclear ribonucleoprotein H
O35763	Msn	Moesin
O35764	Nptxr;Npr	Neuronal pentraxin receptor
O35791	Rhoa;rhoA	RhoA
O35813	NA	Keratin, type I cytoskeletal 14
O35821	Mybbp1a	Myb-binding protein 1A
O35867	Ppp1r9a	Neurabin-1
O35874	Slc1a4;Asct1	Neutral amino acid transporter A
O35887	Calu	Calumenin
O35902-1	Dsg3 	Desmoglein-3
O35910	Slc16a3;Mct3;Mct4	Monocarboxylate transporter 4
O35927	Ctnnd2;Catnd2;Nprap	Catenin delta-2
O35963	Rab33b	Ras-related protein Rab-33B
O35988	Sdc4	Syndecan-4
O43615	TIMM44;MIMT44;TIM44	Mitochondrial import inner membrane translocase subunit TIM44
O54724	Ptrf	Polymerase I and transcript release factor
O54734	Ddost	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit
O54874	Cdc42bpa;Pk428	Serine/threonine-protein kinase MRCK alpha
O54875	NA	Serine/threonine-protein kinase MRCK beta
O54885	Tyrobp;Dap12;Karap	TYRO protein tyrosine kinase-binding protein
O54916-2	Reps1	Isoform 2 of RalBP1-associated Eps domain-containing protein 1
O54924	Exoc8;Exo84	Exocyst complex component 8
O54928	Socs5;Cish5	Suppressor of cytokine signaling 5
O54931-3	Akap2	Isoform 3 of A-kinase anchor protein 2
O54946-1	Dnajb6 	DnaJ homolog subfamily B member 6
O54962	Banf1;Baf;Bcrp1;L2bp1	Barrier-to-autointegration factor
O54991	Cntnap1;Nrxn4	Contactin-associated protein 1
O55022	Pgrmc1;Pgrmc	Membrane-associated progesterone receptor component 1
O55029	Copb2	Coatomer subunit beta'
O55042	Snca;Syn	Alpha-synuclein
O55091	Impact	Protein IMPACT
O55100	Syngr1	Synaptogyrin-1
O55101	Syngr2	Synaptogyrin-2
O55103	Prx	Periaxin
O55107	Bsg	Basigin
O55111	Dsg2	Desmoglein-2
O55131	Sept7;Cdc10	Septin-7
O55142	Rpl35a	60S ribosomal protein L35a
O55143	Atp2a2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2
O55143-2	Atp2a2	Isoform 2 of Sarcoplasmic/endoplasmic reticulum calcium ATPase 2
O55156	Clip2;Cyln2	CAP-Gly domain-containing linker protein 2
O55201-2	Supt5h	Isoform 2 of Transcription elongation factor SPT5
O55211	NA	Ribosomal protein S2
O60568	PLOD3	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3
O60613	Sep-15	15 kDa selenoprotein
O60884	DNAJA2;CPR3;HIRIP4	DnaJ homolog subfamily A member 2
O70133-3	Dhx9	Isoform 3 of ATP-dependent RNA helicase A
O70169	Prss39;Tesp1	Inactive serine protease 39
O70250	Pgam2	Phosphoglycerate mutase 2
O70251	Eef1b;Eef1b2	Elongation factor 1-beta
O70263	Lnx1;Lnx	E3 ubiquitin-protein ligase LNX
O70310	Nmt1	Glycylpeptide N-tetradecanoyltransferase 1
O70318	Epb41l2;Epb4.1l2	Band 4.1-like protein 2
O70319	NA	Syntaxin-12
O70378	Emc8;Cox4al;Cox4nb;Noc4	ER membrane protein complex subunit 8
O70401	Tspan6;Tm4sf6	Tetraspanin-6
O70404	Vamp8	Vesicle-associated membrane protein 8
O70423-2	Aoc3	Isoform 2 of Membrane primary amine oxidase
O70435	Psma3	Proteasome subunit alpha type-3
O70439	Stx7;Syn7	Syntaxin-7
O70443	Gnaz	Guanine nucleotide-binding protein G
O70456	Sfn;Mkrn3	14-3-3 protein sigma
O70480	Vamp4	Vesicle-associated membrane protein 4
O70503	Hsd17b12;Kik1	Estradiol 17-beta-dehydrogenase 12
O70503-1	Hsd17b12 	Estradiol 17-beta-dehydrogenase 12
O70510	Ank3	AnkyrinG
O70511	Ank3	Ankyrin-3
O70571	Pdk4	[Pyruvate dehydrogenase
O70589-2	Cask	Isoform 2 of Peripheral plasma membrane protein CASK
O75027	ABCB7;ABC7	ATP-binding cassette sub-family B member 7, mitochondrial
O75390	CS	Citrate synthase, mitochondrial
O75431	MTX2	Metaxin-2
O75746	SLC25A12;ARALAR1	Calcium-binding mitochondrial carrier protein Aralar1
O88188	Ly86;Md1	Lymphocyte antigen 86
O88329	Myo1a;Bbmi;Myhl	Unconventional myosin-Ia
O88343	Slc4a4;Nbc1;Nbce1	Electrogenic sodium bicarbonate cotransporter 1
O88384	Vti1b;Vti1l1	Vesicle transport through interaction with t-SNAREs homolog 1B
O88441	Mtx2;MNCb-0780	Metaxin-2
O88444	Adcy1	Adenylate cyclase type 1
O88488	Ptprq;Ptpgmc1	Phosphatidylinositol phosphatase PTPRQ
O88521	NA	190 kDa ankyrin isoform
O88531	Ppt1;Ppt	Palmitoyl-protein thioesterase 1
O88569	Hnrnpa2b1;Hnrpa2b1	Heterogeneous nuclear ribonucleoproteins A2/B1
O88569-3	Hnrnpa2b1	Isoform 3 of Heterogeneous nuclear ribonucleoproteins A2/B1
O88600	Hspa4;Irp94	Heat shock 70 kDa protein 4
O88630	Gosr1;Gs28	Golgi SNAP receptor complex member 1
O88653	Lamtor3;Map2k1ip1;Mapbp;Mapksp1	Ragulator complex protein LAMTOR3
O88664	Taok1;Tao1	Serine/threonine-protein kinase TAO1
O88668	Creg1;Creg	Protein CREG1
O88708	Orc4;Orc4l	Origin recognition complex subunit 4
O88737-2	Bsn	Isoform 2 of Protein bassoon
O88748	NA	Microtubule-associated protein 6
O88809	Dcx;Dcn	Neuronal migration protein doublecortin
O88839	Adam15;Mdc15	Disintegrin and metalloproteinase domain-containing protein 15
O88839-3	Adam15	Isoform 3 of Disintegrin and metalloproteinase domain-containing protein 15
O88879-2	Apaf1	Isoform 2 of Apoptotic protease-activating factor 1
O88900	Grb14	Growth factor receptor-bound protein 14
O88902	Ptpn23	Tyrosine-protein phosphatase non-receptor type 23
O88935	Syn1;Syn-1	Synapsin-1
O88952	Lin7c;Mals3;Veli3	Protein lin-7 homolog C
O88953	Mpp2	Dlg 2
O88960	NA	N-ethylmaleimide sensitive factor
O88967	Yme1l1	ATP-dependent zinc metalloprotease YME1L1
O88968	Tcn2	Transcobalamin-2
O88975	Nsf	N-ethylmaleimide sensitive factor NSF
O88983	Stx8	Syntaxin-8
O88988	NA	Erythrocyte band 7 integral membrane protein
O88989	Mdh1;Mdh	Malate dehydrogenase, cytoplasmic
O89023	Tpp1;Cln2	Tripeptidyl-peptidase 1
O89051	Itm2b	Integral membrane protein 2B
O89079	Cope;Cope1	Coatomer subunit epsilon
O89086	Rbm3	Putative RNA-binding protein 3
O89116	Vti1a;Vti1;Vti1l2	Vesicle transport through interaction with t-SNAREs homolog 1A
O94905	ERLIN2;C8orf2;SPFH2;UNQ2441/PRO5003/PRO9924	Erlin-2
O95202	LETM1	LETM1 and EF-hand domain-containing protein 1, mitochondrial
O95831	AIFM1;AIF;PDCD8	Apoptosis-inducing factor 1, mitochondrial
O96008	TOMM40;C19orf1;PEREC1;TOM40	Mitochondrial import receptor subunit TOM40 homolog
P00342	Ldhc;Ldh-3;Ldh3	L-lactate dehydrogenase C chain
P00367	GLUD1;GLUD	Glutamate dehydrogenase 1, mitochondrial
P00387	CYB5R3;DIA1	NADH-cytochrome b5 reductase 3
P00388	Por	NADPH--cytochrome P450 reductase
P00397	Mtco1;COI;mt-Co1	Cytochrome c oxidase subunit 1
P00405	Mtco2;COII;mt-Co2	Cytochrome c oxidase subunit 2
P00406	Mtco2;Coii;mt-Co2	Cytochrome c oxidase subunit 2
P00416	mt-Co3;COIII;Mtco3	Cytochrome c oxidase subunit 3
P00493	Hprt1;Hprt	Hypoxanthine-guanine phosphoribosyltransferase
P00505	GOT2	Aspartate aminotransferase, mitochondrial
P00507	Got2;Maat	Aspartate aminotransferase, mitochondrial
P00520	Abl1;Abl	Tyrosine-protein kinase ABL1
P00762	Prss1;Try1	Anionic trypsin-1
P00920	Ca2;Car2	Carbonic anhydrase 2
P01830	Thy1;Thy-1	Thy-1 membrane glycoprotein
P01831	Thy1;Thy-1	Thy-1 membrane glycoprotein
P01867	Igh-3	Ig gamma-2B chain C region
P01887	B2m	Beta-2-microglobulin
P01896	NA	H-2 class I histocompatibility antigen, alpha chain
P01897	H2-L	H-2 class I histocompatibility antigen, L-D alpha chain
P01899	H2-D1	H-2 class I histocompatibility antigen, D-B alpha chain
P01900	H2-D1	H-2 class I histocompatibility antigen, D-D alpha chain
P01901	H2-K1;H2-K	H-2 class I histocompatibility antigen, K-B alpha chain
P01942	Hba;Hba-a1	Hemoglobin subunit alpha
P01946	Hba1;Hba-a1	Hemoglobin subunit alpha-1/2
P02088	Hbb-b1	Hemoglobin subunit beta-1
P02089	Hbb-b2	Hemoglobin subunit beta-2
P02091	Hbb	Hemoglobin subunit beta-1
P02262	NA	Histone H2A type 1
P02401	Rplp2;Rp2	60S acidic ribosomal protein P2
P02466	Col1a2	Collagen alpha-2
P02468	Lamc1;Lamb-2;Lamc-1	Laminin subunit gamma-1
P02469	Lamb1;Lamb-1;Lamb1-1	Laminin subunit beta-1
P02535	Krt10;Krt1-10	Keratin, type I cytoskeletal 10
P02564	Myh7	Myosin-7
P02680	Fgg	Fibrinogen gamma chain
P02688	Mbp	Myelin basic protein
P02770	Alb	Serum albumin
P03888	Mtnd1;mt-Nd1;Nd1	NADH-ubiquinone oxidoreductase chain 1
P03911	Mtnd4;mt-Nd4;Nd4	NADH-ubiquinone oxidoreductase chain 4
P03930	Mtatp8;Atp8;mt-Atp8	ATP synthase protein 8
P03975	Iap	IgE-binding protein
P03991	H2-K1;H2-K	H-2 class I histocompatibility antigen, K-W28 alpha chain
P03995	Gfap	Glial fibrillary acidic protein
P03995-2	Gfap	Isoform 2 of Glial fibrillary acidic protein
P04040	CAT	Catalase
P04104	Krt1;Krt2-1	Keratin, type II cytoskeletal 1
P04181	OAT	Ornithine aminotransferase, mitochondrial
P04223-2	H2-K1	Isoform 2 of H-2 class I histocompatibility antigen, K-K alpha chain
P04370	Mbp;Shi	Myelin basic protein
P04636	Mdh2;Mor1	Malate dehydrogenase, mitochondrial
P04642	Ldha;Ldh-1;Ldh1	L-lactate dehydrogenase A chain
P04764	Eno1;Eno-1	Alpha-enolase
P04797	Gapdh;Gapd	Glyceraldehyde-3-phosphate dehydrogenase
P04843	RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1
P04844	RPN2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2
P04897	Gnai2;Gnai-2	Guanine nucleotide-binding protein G
P04925	Prnp;Prn-p;Prp	Major prion protein
P05060	CHGB;SCG1	Secretogranin-1
P05063	Aldoc;Aldo3;Scrg2	Fructose-bisphosphate aldolase C
P05064	Aldoa;Aldo1	Fructose-bisphosphate aldolase A
P05091	ALDH2;ALDM	Aldehyde dehydrogenase, mitochondrial
P05132	Prkaca;Pkaca	cAMP-dependent protein kinase catalytic subunit alpha
P05141	SLC25A5;ANT2	ADP/ATP translocase 2
P05197	Eef2	Elongation factor 2
P05198	EIF2S1;EIF2A	Eukaryotic translation initiation factor 2 subunit 1
P05201	Got1	Aspartate aminotransferase, cytoplasmic
P05202	Got2;Got-2	Aspartate aminotransferase, mitochondrial
P05213	Tuba1b;Tuba2	Tubulin alpha-1B chain
P05426	Rpl7	60S ribosomal protein L7
P05480	Src	Neuronal proto-oncogene tyrosine-protein kinase Src
P05503	Mtco1;Coi;mt-Co1	Cytochrome c oxidase subunit 1
P05555	Itgam	Integrin alpha-M
P05622	Pdgfrb;Pdgfr;Pdgfr1	Platelet-derived growth factor receptor beta
P05696	Prkca;Pkca	Protein kinase C alpha type
P05708	Hk1	Hexokinase-1
P05977	Myl1;Mylf	Myosin light chain 1/3, skeletal muscle isoform
P06151	Ldha;Ldh-1;Ldh1	L-lactate dehydrogenase A chain
P06685	Atp1a1	Sodium/potassium-transporting ATPase subunit alpha-1
P06745	Gpi;Gpi1	Glucose-6-phosphate isomerase
P06795	Abcb1b;Abcb1;Mdr1;Mdr1b;Pgy1;Pgy1-1	Multidrug resistance protein 1B
P06837	Gap43;Basp2	Neuromodulin
P07091	S100a4;Capl;Mts1	Protein S100-A4
P07237	P4HB;ERBA2L;PDI;PDIA1;PO4DB	Protein disulfide-isomerase
P07323	Eno2;Eno-2	Gamma-enolase
P07335	Ckb;Ckbb	Creatine kinase B-type
P07339	CTSD;CPSD	Cathepsin D
P07356	Anxa2;Anx2;Cal1h	Annexin A2
P07437	TUBB;TUBB5;OK/SW-cl.56	Tubulin beta chain
P07722	Mag	Myelin-associated glycoprotein
P07724	Alb;Alb-1;Alb1	Serum albumin
P07814	EPRS;GLNS;PARS;QARS;QPRS;PIG32	Bifunctional glutamate/proline--tRNA ligase
P07823	HSPA5;GRP78	78 kDa glucose-regulated protein
P07901	Hsp90aa1;Hsp86;Hsp86-1;Hspca	Heat shock protein HSP 90-alpha
P07910	HNRNPC;HNRPC	Heterogeneous nuclear ribonucleoproteins C1/C2
P07936	Gap43	Neuromodulin
P08003	Pdia4;Cai;Erp72	Protein disulfide-isomerase A4
P08032	Spta1;Spna1;Spta	Spectrin alpha chain, erythrocytic 1
P08074	Cbr2	Carbonyl reductase [NADPH] 2
P08101	Fcgr2;Fcgr2b;Ly-17	Low affinity immunoglobulin gamma Fc region receptor II
P08103	Hck	Tyrosine-protein kinase HCK
P08113	Hsp90b1;Grp94;Tra-1;Tra1	Endoplasmin
P08121	Col3a1	Collagen alpha-1 chain
P08122	Col4a2	Collagen alpha-2 chain
P08195	SLC3A2;MDU1	4F2 cell-surface antigen heavy chain
P08207	S100a10;Cal1l	Protein S100-A10
P08226	Apoe	Apolipoprotein E
P08228	Sod1	Superoxide dismutase
P08238	HSP90AB1;HSP90B;HSPC2;HSPCB	Heat shock protein HSP 90-beta
P08249	Mdh2;Mor1	Malate dehydrogenase, mitochondrial
P08289	Alpl	Alkaline phosphatase, tissue-nonspecific isozyme
P08461	Dlat	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial
P08551	Nefl;Nf68;Nfl	Neurofilament light polypeptide
P08553	Nefm;Nef3;Nfm	Neurofilament medium polypeptide
P08670	VIM	Vimentin
P08708	RPS17	40S ribosomal protein S17
P08752	Gnai2;Gnai-2	Guanine nucleotide-binding protein G
P08905	Lyz2;Lyz;Lyzs	Lysozyme C-2
P09041	Pgk2;Pgk-2	Phosphoglycerate kinase 2
P09055	Itgb1	Integrin beta-1
P09103	P4hb;Pdia1	Protein disulfide-isomerase
P09242	Alpl;Akp-2;Akp2	Alkaline phosphatase, tissue-nonspecific isozyme
P09405	Ncl;Nuc	Nucleolin
P09411	Pgk1;Pgk-1	Phosphoglycerate kinase 1
P09445	EEF2;EF2	Elongation factor 2
P09456	Prkar1a	cAMP-dependent protein kinase type I-alpha regulatory subunit
P09470	Ace;Dcp1	Angiotensin-converting enzyme
P09528	Fth1;Fth	Ferritin heavy chain
P09581	Csf1r;Csfmr;Fms	Macrophage colony-stimulating factor 1 receptor
P09606	Glul;Glns	Glutamine synthetase
P09671	Sod2;Sod-2	Superoxide dismutase [Mn], mitochondrial
P09803	Cdh1	Cadherin-1
P09895	Rpl5	60S ribosomal protein L5
P09951	Syn1	Synapsin-1
P0C0A3	Chmp6	Charged multivesicular body protein 6
P0C0S6	H2afz;H2az	Histone H2A.Z
P0C8K7	Smim1	Small integral membrane protein 1
P0CG49	Ubb	Polyubiquitin-B
P0CG50	Ubc	Polyubiquitin-C
P10107	Anxa1;Anx1;Lpc-1;Lpc1	Annexin A1
P10111	Ppia	Peptidyl-prolyl cis-trans isomerase A
P10126	Eef1a1;Eef1a	Elongation factor 1-alpha 1
P10252	Cd48;Bcm-1	CD48 antigen
P10253	GAA	Lysosomal alpha-glucosidase
P10301	RRAS	Ras-related protein R-Ras
P10404	NA	MLV-related proviral Env polyprotein
P10493	Nid1;Ent	Nidogen-1
P10515	DLAT;DLTA	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial
P10605	Ctsb	Cathepsin B
P10639	Txn;Txn1	Thioredoxin
P10649	Gstm1	Glutathione S-transferase Mu 1
P10719	Atp5b	ATP synthase subunit beta, mitochondrial
P10760	Ahcy	Adenosylhomocysteinase
P10810	Cd14	Monocyte differentiation antigen CD14
P10833	Rras	Ras-related protein R-Ras
P10852	Slc3a2;Mdu1	4F2 cell-surface antigen heavy chain
P10853	Hist1h2bf;H2b-f;Hist1h2bj;H2b-j;Hist1h2bl;H2b-l;Hist1h2bn;H2b-n	Histone H2B type 1-F/J/L
P10860	Glud1;Glud	Glutamate dehydrogenase 1, mitochondrial
P11021	HSPA5;GRP78	78 kDa glucose-regulated protein
P11031	Sub1;Pc4;Rpo2tc1	Activated RNA polymerase II transcriptional coactivator p15
P11087	Col1a1;Cola1	Collagen alpha-1
P11157	Rrm2	Ribonucleoside-diphosphate reductase subunit M2
P11240	Cox5a	Cytochrome c oxidase subunit 5A, mitochondrial
P11275	Camk2a	Calcium/calmodulin-dependent protein kinase type II subunit alpha
P11276	Fn1	Fibronectin
P11352	Gpx1	Glutathione peroxidase 1
P11438	Lamp1;Lamp-1	Lysosome-associated membrane glycoprotein 1
P11497	Acaca;Acac	Acetyl-CoA carboxylase 1
P11499	Hsp90ab1;Hsp84;Hsp84-1;Hspcb	Heat shock protein HSP 90-beta
P11505	Atp2b1	Plasma membrane calcium-transporting ATPase 1
P11679	Krt8;Krt2-8	Keratin, type II cytoskeletal 8
P11688	Itga5	Integrin alpha-5
P11798	Camk2a	Calcium/calmodulin-dependent protein kinase type II subunit alpha
P11798-2	Camk2a	Isoform Alpha KAP of Calcium/calmodulin-dependent protein kinase type II subunit alpha
P11835	Itgb2	Integrin beta-2
P11980	Pkm;Pkm2;Pykm	Pyruvate kinase PKM
P11983	Tcp1;Cct1;Ccta	T-complex protein 1 subunit alpha
P11983-1	Tcp1 	T-complex protein 1 subunit alpha
P11984	NA	T-complex protein 1 subunit alpha
P12023	App	Amyloid beta A4 protein ; C31
P12023-2	App	Isoform APP695 of Amyloid beta A4 protein
P12346	Tf	Serotransferrin
P12368	Prkar2a	cAMP-dependent protein kinase type II-alpha regulatory subunit
P12785	Fasn	Fatty acid synthase
P12787	Cox5a	Cytochrome c oxidase subunit 5A, mitochondrial
P12814	ACTN1	Alpha-actinin-1
P12815	Pdcd6;Alg2	Programmed cell death protein 6
P12839	Nefm;Nef3;Nfm	Neurofilament medium polypeptide
P12847	Myh3	Myosin-3
P12960	Cntn1	Contactin-1
P12970	Rpl7a;Surf-3;Surf3	60S ribosomal protein L7a
P13020	Gsn;Gsb	Gelsolin
P13020-2	Gsn	Isoform 2 of Gelsolin
P13073	COX4I1;COX4	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial
P13221	Got1	Aspartate aminotransferase, cytoplasmic
P13233	Cnp;Cnp1	2',3'-cyclic-nucleotide 3'-phosphodiesterase
P13383	Ncl;Nuc	Nucleolin
P13437	Acaa2	3-ketoacyl-CoA thiolase, mitochondrial
P13541	Myh3;Myhse	Myosin-3
P13595	Ncam1;Ncam	Neural cell adhesion molecule 1
P13595-1	Ncam1 	Neural cell adhesion molecule 1
P13595-2	Ncam1	Isoform 2 of Neural cell adhesion molecule 1
P13595-3	Ncam1	Isoform 3 of Neural cell adhesion molecule 1
P13595-4	Ncam1	Isoform 4 of Neural cell adhesion molecule 1
P13597	Icam1;Icam-1	Intercellular adhesion molecule 1
P13635	Cp	Ceruloplasmin
P13639	EEF2;EF2	Elongation factor 2
P13697	Me1;Mod-1;Mod1	NADP-dependent malic enzyme
P13707	Gpd1;Gdc-1;Gdc1;Kiaa4010	Glycerol-3-phosphate dehydrogenase [NAD
P13804	ETFA	Electron transfer flavoprotein subunit alpha, mitochondrial
P13995	MTHFD2;NMDMC	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial
P14069	S100a6;Cacy	Protein S100-A6
P14094	Atp1b1;Atp4b	Sodium/potassium-transporting ATPase subunit beta-1
P14131	Rps16	40S ribosomal protein S16
P14148	Rpl7	60S ribosomal protein L7
P14152	Mdh1;Mor2	Malate dehydrogenase, cytoplasmic
P14206	Rpsa;Lamr1;P40-8	40S ribosomal protein SA
P14211	Calr	Calreticulin
P14231	Atp1b2	Sodium/potassium-transporting ATPase subunit beta-2
P14234	Fgr	Tyrosine-protein kinase Fgr
P14427	H2-D1	H-2 class I histocompatibility antigen, D-P alpha chain
P14480	Fgb;Ab1-181;Ab1-216;Ac1-581	Fibrinogen beta chain
P14576-1	Srp54 	Signal recognition particle 54 kDa protein
P14602	Hspb1;Hsp25;Hsp27	Heat shock protein beta-1
P14625	HSP90B1;GRP94;TRA1	Endoplasmin
