Accession	Gene_name	Protein_name
P62743	Ap2s1;Ap17;Claps2	AP-2 complex subunit sigma
P62814	Atp6v1b2;Atp6b2;Vat2	V-type proton ATPase subunit B, brain isoform
P62858	Rps28	40S ribosomal protein S28
P62874	Gnb1	Guanine nucleotide-binding protein G
P62880	Gnb2	Guanine nucleotide-binding protein G
P62977	NA	Ubiquitin-40S ribosomal protein S27a
P63001	Rac1	Ras-related C3 botulinum toxin substrate 1
P63260	Actg1;Actg	Actin, cytoplasmic 2
P63321	Rala;Ral;Ral-a	Ras-related protein Ral-A
P68372	Tubb4b;Tubb2c	Tubulin beta-4B chain
P70490	Mfge8;Ags	Lactadherin
Q3KQJ4	Hspa8	Hspa8 protein
Q3S4T7	HSPA5;GRP78	78 kDa glucose-regulated protein
Q3TCT9	Rab5c	Putative uncharacterized protein
Q3TH64	Cyb5b	Putative uncharacterized protein
Q3TIP1	Slc3a2	Putative uncharacterized protein
Q3TJK3	Serpinh1	Putative uncharacterized protein
Q3TVE3	S100a16	Putative uncharacterized protein
Q3TWV0	Vim	Putative uncharacterized protein
Q3TX38	Vdac3	Putative uncharacterized protein
Q3U2W7	Kras	Putative uncharacterized protein
Q3U4W5	Rab6a;Rab6;mCG_2848	RAB6, member RAS oncogene family, isoform CRA_c
Q3U561	Rpl10a	Ribosomal protein
Q3U5W3	NA	V-type proton ATPase catalytic subunit A
Q3UAZ6	NA	ATP-binding cassette sub-family B member 6, mitochondrial
Q3UBI6	Rpl7	Putative uncharacterized protein
Q3UCL7	Rps3	Putative uncharacterized protein
Q3UFR4	Slc1a5	Putative uncharacterized protein
Q3UFT0	Myh9	Putative uncharacterized protein
Q3UK59	NA	V-type proton ATPase subunit E 1
Q3UZ06	Sec22b;Sec22l1	Putative uncharacterized protein
Q4AEF6	NA	Ras-related protein Rab-7a
Q4FCR4	NA	Intercellular adhesion molecule 1
Q4FJL0	Rab10;mCG_7949	RAB10, member RAS oncogene family
Q5F234	NA	Syntaxin 8, isoform CRA_a
Q5M810	Myo1g	Myo1g protein
Q5SW87	Rab1	Ras-related protein Rab-1A
Q5XK06	NA	DENN domain-containing protein 3
Q60522	CD44	CD44 antigen
Q60930	Vdac2;Vdac6	Voltage-dependent anion-selective channel protein 2
Q62186	Ssr4	Translocon-associated protein subunit delta
Q63355	Myo1c;Myr2	Unconventional myosin-Ic
Q6AXQ3	Yes1	Tyrosine-protein kinase Yes
Q6AYQ9	Ppic;rCG_46882	Peptidyl-prolyl cis-trans isomerase
Q6DI58	Rpl12	Rpl12 protein
Q6IN24	Lgals8	Galectin
Q6P791	Lamtor1	Ragulator complex protein LAMTOR1
Q6PDW1	Rps12;LOC100359593;LOC100360573;rCG_42036	40S ribosomal protein S12
Q6PFA8	NA	DBH-like monooxygenase protein 1
Q6R0H7	Gnas;Gnas1	Guanine nucleotide-binding protein G
Q6UL10	NA	AHNAK
Q6WRU0	Bst2	Bone marrow stromal antigen 2
Q71FK5	ACTB	Actin, cytoplasmic 1
Q791V5	Mtch2	Mitochondrial carrier homolog 2
Q7TMA5	Apob;Aa1064;Ac1-060	Apolipoprotein B-100
Q7TMC7	Tf;Srprb	Ab2-417
Q7TSH1	NA	Actin-related protein 3B
Q8BFU4	Rgs19	GAIP/RGS19 short isoform
Q8BFZ9	Erlin2;Spfh2	Erlin-2
Q8BG11	NA	Cadherin-13
Q8BMK4	Ckap4	Cytoskeleton-associated protein 4
Q8BVE3	Atp6v1h	V-type proton ATPase subunit H
Q8K3H8	NA	Calnexin
Q8R2H0	Atp6v1g2;Aif1;Bat1a;Cdk2ap1-ps2;Cdk2ap1-ps3;Cdk2ap1-ps4	ATPase, H+ transporting, V1 subunit G isoform 2
Q8VDN2	Atp1a1	Sodium/potassium-transporting ATPase subunit alpha-1
Q8VIK7	NA	Caveolin-2
Q91V41	Rab14	Ras-related protein Rab-14
Q99JI6	Rap1b	Ras-related protein Rap-1b
Q9CQW2	Arl8b;Arl10c;Gie1	ADP-ribosylation factor-like protein 8B
Q9D1K2	Atp6v1f;Atp6s14;Vatf	V-type proton ATPase subunit F
Q9DAS9	Gng12	Guanine nucleotide-binding protein G subunit gamma-12
Q9DBG3	Ap2b1;Clapb1	AP-2 complex subunit beta
Q9EPK2	Rp2;Rp2h	Protein XRP2
Q9ERB6	NA	Unconventional myosin-Ic
Q9ERD4	NA	Kinase D-interacting substrate of 220 kDa
Q9JKU9	NA	Sigma non-opioid intracellular receptor 1
Q9JKY1	PRDX1;TDPX2	Peroxiredoxin-1
Q9QUR8	Sema7a;Cd108;Semal;Semk1	Semaphorin-7A
Q9QWC2	NA	Ribosomal protein P2=IRON-binding protein
Q9R0Y5	Ak1	Adenylate kinase isoenzyme 1
Q9WU83	DPM1	Dolichol-phosphate mannosyltransferase subunit 1
Q9WV55	Vapa;Vap33	Vesicle-associated membrane protein-associated protein A
Q9Z1G3	Atp6v1c1;Atp6c;Atp6c1;Vatc	V-type proton ATPase subunit C 1
Q9Z239	Fxyd1;Plm	Phospholemman
Q9Z2L0	Vdac1	Voltage-dependent anion-selective channel protein 1
Q9Z2S9	Flot2;Reg1	Flotillin-2
